Name,Brand,Price,Model,Rating,Number of Ratings,Stock,Specifications,Image
"Ashoka Luxora Series, Stainless Steel - Universal Movement, Elegant Design, Precise Timekeeping - The Perfect Accessory for Any Occasion (Copper-Silver)",Ashoka Watch Company,2549,YM020XLAWC005,,,In stock,"{'item_weight': None, 'case_material': 'Stainless Steel', 'crystal_material': None, 'band_material': 'Stainless Steel', 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61IJ5Hu9AVL._SX679_.jpg
"Ashoka Radient Series, Stainless Steel - Universal Movement, Elegant Design, Precise Timekeeping - The Perfect Accessory for Any Occasion (Silver-Golden)",Ashoka Watch Company,2549,YM020XLAWC002,,,In stock,"{'item_weight': None, 'case_material': 'Stainless Steel', 'crystal_material': None, 'band_material': 'Stainless Steel', 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61MlHHz-vJL._SX679_.jpg
Men's Business Watch Gold Blue with Large Easy-Read Analog Quartz Date Display Luxury Stainless Steel Band Waterproof Luminous Hands,OLEVS,3040,OLS-IND-G2900GJ-QJ,3.7,231,In stock,"{'item_weight': '120 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61jWVri+4jL._SX679_.jpg
Mens Watches Chronograph Diamond Quartz Date Calendar Moon Phase Luxury Two Tone Stainless Steel Waterproof Luminous Business Wrist Watch,OLEVS,2736,OLS-IND-G2951GJ-JB,3.9,211,In stock,"{'item_weight': '50 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61JItBgSibL._SX679_.jpg
"Fire-Boltt Ninja Call Pro Plus 46.48mm (1.83 inch) Smart Watch with Bluetooth Calling, AI Voice Assistance, 120 Sports Modes IP67 Rating, 240 * 280 Pixel High Resolution (Black)",Fire-Boltt,999,,4.1,80264,In stock,"{'item_weight': '50 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61FQOvP93fL._SX679_.jpg
6 Colours Luminous LED Display Fashionable Children Kids Digital Watches Waterproof Sports Square Electronic Led Watch for Kids Boy Baby Girls Digital Watch for Kids,Acnos,149,EARTH-BLACK-LED,4,1112,In stock,"{'item_weight': '30 g', 'case_material': 'PU', 'crystal_material': 'PU', 'band_material': 'Polyurethane', 'water_resistant_depth': '30 Millimeters'}",https://m.media-amazon.com/images/I/61ohjb-5f5L._SX679_.jpg
Minimalist Black Dial with Softest Silicone Strap Analog Wrist Watch for Men & Boys,Matrix,249,SIL-22,4.1,16,In stock,"{'item_weight': None, 'case_material': 'Brass', 'crystal_material': 'Glass', 'band_material': 'Silicone', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/618MdeNFBmL._SX679_.jpg
Watch for Men Skeleton Analog Quartz Chronograph Diamond Watches Stainless Steel Moon Phase Calendar Waterproof Wrist Watch,OLEVS,3040,MJ-IND-G2856-JH,4,4568,In stock,"{'item_weight': '50 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71DME1QYZWL._SX679_.jpg
"Michael Kors Stainless Steel Analog Black Dial Men's Watch-Mk8703, Band Color:Black",Michael Kors,13196,,4.6,733,In stock,"{'item_weight': '61 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/81N9vnr6SzL._SX679_.jpg
"Analog-Digital Sports Watch: Chronograph, Dual Time, Alarm, Stopwatch, Water-Resistant, Shock-Resistant, Back Light Display- The Perfect Watches for Men - CT9105",Carlington,1139,CT 9105 Green,4.2,631,In stock,"{'item_weight': '80 g', 'case_material': 'Alloy Steel', 'crystal_material': 'Mineral', 'band_material': 'Resin', 'water_resistant_depth': '10 Meters'}",https://m.media-amazon.com/images/I/910E84YrzdL._SX679_.jpg
